Date,Percent Change
4/1/2021,-20.40
4/2/2021,-16.23
4/3/2021,-23.51
4/4/2021,-0.96
4/5/2021,-21.62
4/6/2021,-24
4/7/2021,-20.78
4/8/2021,-17.10
4/9/2021,-17.03
4/10/2021,-16.94
4/11/2021,-19.46
4/12/2021,-38.58
4/13/2021,-37.98
4/14/2021,-34.43
4/15/2021,-33.57
4/16/2021,-19.38
4/17/2021,-62.24
4/18/2021,-37.66
4/19/2021,-26.70
4/20/2021,-28.07
4/21/2021,-33.66
4/22/2021,-27.67
4/23/2021,-16.75
4/24/2021,-11.60
4/25/2021,-13.74
4/26/2021,-27.78
4/27/2021,-24.97
4/28/2021,-21.84
4/29/2021,-22.15
4/30/2021,-16.03
5/1/2021,-11
5/2/2021,-9.86
5/3/2021,-29.37
5/4/2021,-27.79
5/5/2021,-20.01
5/6/2021,-18.80
5/7/2021,-15.13
5/8/2021,-15.58
5/9/2021,-26.96
5/10/2021,-16.70
5/11/2021,-23.85
5/12/2021,-21.82
5/13/2021,-13.90
5/14/2021,-9.79
5/15/2021,-8.78
5/16/2021,-11.41
5/17/2021,-26.27
5/18/2021,-22.24
5/19/2021,-17.61
5/20/2021,-9.85
5/21/2021,-4.55
5/22/2021,-1.38
5/23/2021,-17.77
5/24/2021,-24.26
5/25/2021,4.20
5/26/2021,-3.82
5/27/2021,-2.13
5/28/2021,-6.85
5/29/2021,-2.63
5/30/2021,12.15
5/31/2021,1.64
6/1/2021,-27.46
6/2/2021,-16.61
6/3/2021,-15.51
6/4/2021,-7.75
6/5/2021,-2.46
6/6/2021,-3.44
6/7/2021,-17.20
6/8/2021,-18.52
6/9/2021,-12.14
6/10/2021,-5.51
6/11/2021,-6.65
6/12/2021,-5.13
6/13/2021,-37.35
6/14/2021,-12.09
6/15/2021,-18.08
6/16/2021,-6.24
6/17/2021,-2.81
6/18/2021,-1.22
6/19/2021,1.22
6/20/2021,40.01
6/21/2021,-9.98
6/22/2021,-13.46
6/23/2021,-7.29
6/24/2021,-5.45
6/25/2021,-1.77
6/26/2021,1.77
6/27/2021,1.94
6/28/2021,-8.79
6/29/2021,-63.23
6/30/2021,-9.50
7/1/2021,13.65
7/2/2021,-3.65
7/3/2021,-1.35
7/4/2021,-15.52
7/5/2021,16.55
7/6/2021,-17.32
7/7/2021,-10.09
7/8/2021,-7.82
7/9/2021,-4.32
7/10/2021,-1.08
7/11/2021,-0.92
7/12/2021,-12.98
7/13/2021,-11.46
