county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated
Lincoln County,55069,Wisconsin,"27,593",282,"Marathon (Wausau), WI - Wood, WI","291,401",4.7,13.4,177.58,Medium,8/18/2022
Manitowoc County,55071,Wisconsin,"78,981",355,"Sheboygan (Sheboygan), WI - Manitowoc, WI","244,410",3.4,9.8,169.66,Low,8/18/2022
Marathon County,55073,Wisconsin,"135,692",282,"Marathon (Wausau), WI - Wood, WI","291,401",4.7,13.4,209.3,High,8/18/2022
Monroe County,55081,Wisconsin,"46,253",290,"La Crosse (La Crosse), WI - Monroe, WI","257,027",3.9,15.6,216.2,High,8/18/2022
Portage County,55097,Wisconsin,"70,772",400,"Portage, WI","70,772",5.9,7.1,217.6,Medium,8/18/2022
Sauk County,55111,Wisconsin,"64,442",301,"Dane (Madison), WI - Sauk, WI","776,612",5,9,229.66,Medium,8/18/2022
Shawano County,55115,Wisconsin,"40,899",379,"Shawano, WI - Langlade, WI","64,644",5.2,4.6,205.38,Medium,8/18/2022
Vernon County,55123,Wisconsin,"30,822",290,"La Crosse (La Crosse), WI - Monroe, WI","257,027",3.9,15.6,155.73,Medium,8/18/2022
Washington County,55131,Wisconsin,"136,034",280,"Milwaukee (Milwaukee), WI - Waukesha, WI","1,575,179",4.8,13.7,176.43,Medium,8/18/2022
Goshen County,56015,Wyoming,"13,211",580,"Scotts Bluff, NE - Goshen, WY","69,815",3.6,10,174.1,Medium,8/18/2022
Hot Springs County,56017,Wyoming,"4,413",777,"Fremont, WY - Washakie, WY","51,479",0,0,203.94,Medium,8/18/2022
Johnson County,56019,Wyoming,"8,445",770,"Sheridan, WY - Johnson, WY","38,930",3.3,12.8,201.3,High,8/18/2022
Sheridan County,56033,Wyoming,"30,485",770,"Sheridan, WY - Johnson, WY","38,930",3.3,12.8,177.14,Medium,8/18/2022
Weston County,56045,Wyoming,"6,927",804,"Weston, WY","6,927",6,0,144.36,Low,8/18/2022
Aguas Buenas Muni,72007,Puerto Rico,"24,814",904,Puerto Rico,"3,193,694",3.9,7,467.48,Medium,8/18/2022
Arroyo Muni,72015,Puerto Rico,"17,238",904,Puerto Rico,"3,193,694",3.9,7,690.34,Medium,8/18/2022
Barceloneta Muni,72017,Puerto Rico,"23,727",904,Puerto Rico,"3,193,694",3.9,7,598.47,Medium,8/18/2022
Barranquitas Muni,72019,Puerto Rico,"27,725",904,Puerto Rico,"3,193,694",3.9,7,425.61,Medium,8/18/2022
Cabo Rojo Muni,72023,Puerto Rico,"47,515",904,Puerto Rico,"3,193,694",3.9,7,387.25,Medium,8/18/2022
Caguas Muni,72025,Puerto Rico,"124,606",904,Puerto Rico,"3,193,694",3.9,7,593.07,Medium,8/18/2022
Camuy Muni,72027,Puerto Rico,"30,504",904,Puerto Rico,"3,193,694",3.9,7,563.86,Medium,8/18/2022
Comerío Muni,72045,Puerto Rico,"18,648",904,Puerto Rico,"3,193,694",3.9,7,627.41,Medium,8/18/2022
Corozal Muni,72047,Puerto Rico,"32,293",904,Puerto Rico,"3,193,694",3.9,7,718.42,Medium,8/18/2022
Guánica Muni,72055,Puerto Rico,"15,383",904,Puerto Rico,"3,193,694",3.9,7,448.55,Medium,8/18/2022
Guayama Muni,72057,Puerto Rico,"39,465",904,Puerto Rico,"3,193,694",3.9,7,433.3,Medium,8/18/2022
Jayuya Muni,72073,Puerto Rico,"13,891",904,Puerto Rico,"3,193,694",3.9,7,583.11,Medium,8/18/2022
Lares Muni,72081,Puerto Rico,"24,276",904,Puerto Rico,"3,193,694",3.9,7,790.9,Medium,8/18/2022
Luquillo Muni,72089,Puerto Rico,"17,665",904,Puerto Rico,"3,193,694",3.9,7,356.64,Medium,8/18/2022
Manatí Muni,72091,Puerto Rico,"37,287",904,Puerto Rico,"3,193,694",3.9,7,627.56,Medium,8/18/2022
Naranjito Muni,72105,Puerto Rico,"27,349",904,Puerto Rico,"3,193,694",3.9,7,563.09,Medium,8/18/2022
Ponce Muni,72113,Puerto Rico,"131,881",904,Puerto Rico,"3,193,694",3.9,7,470.12,Medium,8/18/2022
Rincón Muni,72117,Puerto Rico,"13,656",904,Puerto Rico,"3,193,694",3.9,7,490.63,Medium,8/18/2022
Río Grande Muni,72119,Puerto Rico,"48,025",904,Puerto Rico,"3,193,694",3.9,7,420.61,Medium,8/18/2022
San Juan Muni,72127,Puerto Rico,"318,441",904,Puerto Rico,"3,193,694",3.9,7,370.24,Medium,8/18/2022
Toa Alta Muni,72135,Puerto Rico,"72,025",904,Puerto Rico,"3,193,694",3.9,7,370.7,Medium,8/18/2022
Yabucoa Muni,72151,Puerto Rico,"32,282",904,Puerto Rico,"3,193,694",3.9,7,390.31,Medium,8/18/2022
United States Virgin Islands,78000,United States Virgin Islands,"104,672",905,United States Virgin Islands,"104,672",2.9,10.5,190.78,Medium,8/18/2022
Baldwin County,1003,Alabama,"223,234",161,"Mobile (Mobile), AL - Baldwin, AL","697,125",5,19.2,240.11,High,8/18/2022
Butler County,1013,Alabama,"19,448",259,"Butler, AL","19,448",3,15.4,395.93,High,8/18/2022
Coffee County,1031,Alabama,"52,342",162,"Houston (Dothan), AL - Dale, AL","277,857",7.1,19.1,357.27,High,8/18/2022
Coosa County,1037,Alabama,"10,663",241,"Talladega, AL - Clay, AL","103,876",2.7,21.2,422.02,High,8/18/2022
Dale County,1045,Alabama,"49,172",162,"Houston (Dothan), AL - Dale, AL","277,857",7.1,19.1,321.32,High,8/18/2022
DeKalb County,1049,Alabama,"71,513",224,"Etowah (Gadsden), AL - Marshall, AL","296,751",3.4,12.1,220.94,High,8/18/2022
Wilson County,20205,Kansas,"8,525",675,"Wilson, KS","8,525",1.1,35.2,105.57,High,1/5/2023
Macon County,1087,Alabama,"18,068",179,"Lee (Auburn), AL - Elmore, AL","304,186",3.7,5.3,287.8,Medium,8/18/2022
Madison County,1089,Alabama,"372,909",210,"Madison (Huntsville), AL - Limestone, AL","557,816",7.4,27.2,304.9,High,8/18/2022
Marion County,1093,Alabama,"29,709",247,"Marion, AL - Fayette, AL","46,011",4.3,4.3,225.52,Medium,8/18/2022
Pickens County,1107,Alabama,"19,930",156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL","252,047",4.7,4.8,255.9,Medium,8/18/2022
St. Clair County,1115,Alabama,"89,512",150,"Jefferson (Birmingham), AL - Shelby, AL","1,237,724",4.5,16.3,308.34,High,8/18/2022
Sumter County,1119,Alabama,"12,427",412,"Lauderdale, MS - Neshoba, MS","174,560",2.6,6.9,241.41,Medium,8/18/2022
Talladega County,1121,Alabama,"79,978",241,"Talladega, AL - Clay, AL","103,876",2.7,21.2,290.08,High,8/18/2022
Wilcox County,1131,Alabama,"10,373",175,"Dallas, AL - Marengo, AL","75,355",5.8,9.3,453.1,Medium,8/18/2022
Aleutians West CA,2016,Alaska,"5,634",820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","547,697",5.3,14.2,17.75,Medium,8/18/2022
Matanuska-Susitna Borough,2170,Alaska,"108,317",820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","547,697",5.3,14.2,262.19,High,8/18/2022
Nome CA,2180,Alaska,"10,004",820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","547,697",5.3,14.2,449.82,High,8/18/2022
North Slope Borough,2185,Alaska,"9,832",820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","547,697",5.3,14.2,81.37,Medium,8/18/2022
Prince of Wales-Hyder CA,2198,Alaska,"6,203",817,"Ketchikan Gateway Borough, AK - Wrangell-Petersburg Cen, AK","25,872",1.8,7.7,274.06,Medium,8/18/2022
Valdez-Cordova Census Area,2261,Alaska,"9,202",820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","547,697",5.3,14.2,108.67,Medium,8/18/2022
Cochise County,4003,Arizona,"125,922",700,"Pima (Tucson), AZ - Cochise, AZ","1,268,034",2.8,5.9,206.48,Medium,8/18/2022
Graham County,4009,Arizona,"38,837",700,"Pima (Tucson), AZ - Cochise, AZ","1,268,034",2.8,5.9,409.4,Medium,8/18/2022
Greenlee County,4011,Arizona,"9,498",700,"Pima (Tucson), AZ - Cochise, AZ","1,268,034",2.8,5.9,157.93,Low,8/18/2022
La Paz County,4012,Arizona,"21,108",787,"Yuma, AZ - La Paz, AZ","234,895",5,28.1,123.18,High,8/18/2022
Mohave County,4015,Arizona,"212,181",803,"Mohave, AZ","212,181",5.9,14.6,169.67,Medium,8/18/2022
Baxter County,5005,Arkansas,"41,932",407,"Baxter, AR - Marion, AR","58,626",4,22.2,128.78,High,8/18/2022
Bradley County,5011,Arkansas,"10,763",473,"Jefferson (Pine Bluff), AR - Drew, AR","128,147",3.6,14.8,232.28,High,8/18/2022
Carroll County,5015,Arkansas,"28,380",494,"Boone, AR - Carroll, AR","81,446",2.9,6.1,105.71,Low,8/18/2022
Clark County,5019,Arkansas,"22,320",448,"Garland, AR - Hot Spring, AR","175,181",4,13.7,107.53,Medium,8/18/2022
Cleveland County,5025,Arkansas,"7,956",473,"Jefferson (Pine Bluff), AR - Drew, AR","128,147",3.6,14.8,125.69,Medium,8/18/2022
Craighead County,5031,Arkansas,"110,332",571,"Craighead, AR - Greene, AR","257,231",4.5,12.4,309.97,High,8/18/2022
Drew County,5043,Arkansas,"18,219",473,"Jefferson (Pine Bluff), AR - Drew, AR","128,147",3.6,14.8,153.69,Medium,8/18/2022
Hot Spring County,5059,Arkansas,"33,771",448,"Garland, AR - Hot Spring, AR","175,181",4,13.7,281.31,High,8/18/2022
Howard County,5061,Arkansas,"13,202",404,"Bowie (Texarkana), TX - Miller, AR","248,210",3.2,5.6,234.81,Medium,8/18/2022
Johnson County,5071,Arkansas,"26,578",522,"Johnson, AR","26,578",2.2,15.1,173.08,Medium,8/18/2022
Little River County,5081,Arkansas,"12,259",404,"Bowie (Texarkana), TX - Miller, AR","248,210",3.2,5.6,179.46,Low,8/18/2022
Logan County,5083,Arkansas,"21,466",421,"Sebastian (Fort Smith), AR - Crawford, AR","344,595",7.5,14.5,270.19,High,8/18/2022
Madison County,5087,Arkansas,"16,576",446,"Washington (Fayetteville), AR - Benton, AR","577,913",3.3,6.4,223.21,Medium,8/18/2022
Marion County,5089,Arkansas,"16,694",407,"Baxter, AR - Marion, AR","58,626",4,22.2,251.59,High,8/18/2022
